No.;Time;Source;Destination;Protocol;Length;Info;;;;;;;;;;;;;;;time 2;time 1;delay 1;delay 2;jiter
132;212.395.199;192.168.43.133;3.235.72.248;TLSv1.2;89;Application Data;;;;;;;;;;;;;;;212.457.947;212.395.199;62748;226373;163625
133;212.457.947;3.235.72.248;192.168.43.133;TCP;54;443  >  49828 [ACK] Seq=32 Ack=71 Win=916 Len=0;;;;;;;;;;;;;;;212.684.320;212.457.947;226373;54068;172305
134;212.684.320;3.235.72.248;192.168.43.133;TLSv1.2;85;Application Data;;;;;;;;;;;;;;;212.738.388;212.684.320;54068;3828028;3773960
135;212.738.388;192.168.43.133;3.235.72.248;TCP;54;49828  >  443 [ACK] Seq=71 Ack=63 Win=256 Len=0;;;;;;;;;;;;;;;216.566.416;212.738.388;3828028;51853;3776175
138;216.566.416;192.168.43.133;74.125.130.188;TCP;55;[TCP Keep-Alive] 49788  >  5228 [ACK] Seq=1 Ack=1 Win=255 Len=1;;;;;;;;;;;;;;;216.618.269;216.566.416;51853;12963411;12911558
139;216.618.269;74.125.130.188;192.168.43.133;TCP;54;[TCP Keep-Alive ACK] 5228  >  49788 [ACK] Seq=1 Ack=2 Win=757 Len=0;;;;;;;;;;;;;;;229.581.680;216.618.269;12963411;243320;12720091
140;229.581.680;192.168.43.133;3.235.82.191;TLSv1.2;84;Application Data;;;;;;;;;;;;;;;229.825.000;229.581.680;243320;9474955;9231635
141;229.825.000;3.235.82.191;192.168.43.133;TCP;54;443  >  49832 [ACK] Seq=1561 Ack=1917 Win=6618 Len=0;;;;;;;;;;;;;;;239.299.955;229.825.000;9474955;150905;9324050
144;239.299.955;192.168.43.133;172.217.194.188;TCP;55;[TCP Keep-Alive] 50352  >  5228 [ACK] Seq=1 Ack=1 Win=257 Len=1;;;;;;;;;;;;;;;239.450.860;239.299.955;150905;1177431;1026526
145;239.450.860;172.217.194.188;192.168.43.133;TCP;54;[TCP Keep-Alive ACK] 5228  >  50352 [ACK] Seq=1 Ack=2 Win=706 Len=0;;;;;;;;;;;;;;;240.628.291;239.450.860;1177431;153725;1023706
146;240.628.291;192.168.43.133;3.235.82.191;TLSv1.2;271;Application Data;;;;;;;;;;;;;;;240.782.016;240.628.291;153725;307309;153584
147;240.782.016;3.235.82.191;192.168.43.133;TCP;54;443  >  49832 [ACK] Seq=1561 Ack=2134 Win=6625 Len=0;;;;;;;;;;;;;;;241.089.325;240.782.016;307309;54351;252958
148;241.089.325;3.235.82.191;192.168.43.133;TLSv1.2;249;Application Data;;;;;;;;;;;;;;;241.143.676;241.089.325;54351;12379788;12325437
149;241.143.676;192.168.43.133;3.235.82.191;TCP;54;49832  >  443 [ACK] Seq=2134 Ack=1756 Win=260 Len=0;;;;;;;;;;;;;;;253.523.464;241.143.676;12379788;263420;12116368
153;253.523.464;192.168.43.133;40.90.189.152;TLSv1.2;157;Application Data;;;;;;;;;;;;;;;253.786.884;253.523.464;263420;0;263420
155;253.786.884;40.90.189.152;192.168.43.133;TCP;54;443  >  49755 [ACK] Seq=174 Ack=207 Win=1107 Len=0;;;;;;;;;;;;;;;253.786.884;253.786.884;0;47561;47561
156;253.786.884;40.90.189.152;192.168.43.133;TLSv1.2;227;Application Data;;;;;;;;;;;;;;;253.834.445;253.786.884;47561;7796673;7749112
157;253.834.445;192.168.43.133;40.90.189.152;TCP;54;49755  >  443 [ACK] Seq=207 Ack=347 Win=256 Len=0;;;;;;;;;;;;;;;261.631.118;253.834.445;7796673;143089;7653584
160;261.631.118;192.168.43.133;74.125.130.188;TCP;55;[TCP Keep-Alive] 49788  >  5228 [ACK] Seq=1 Ack=1 Win=255 Len=1;;;;;;;;;;;;;;;261.774.207;261.631.118;143089;8919220;8776131
161;261.774.207;74.125.130.188;192.168.43.133;TCP;54;[TCP Keep-Alive ACK] 5228  >  49788 [ACK] Seq=1 Ack=2 Win=757 Len=0;;;;;;;;;;;;;;;270.693.427;261.774.207;8919220;194568;8724652
162;270.693.427;192.168.43.133;3.235.82.191;TLSv1.2;271;Application Data;;;;;;;;;;;;;;;270.887.995;270.693.427;194568;307228;112660
163;270.887.995;3.235.82.191;192.168.43.133;TCP;54;443  >  49832 [ACK] Seq=1756 Ack=2351 Win=6632 Len=0;;;;;;;;;;;;;;;271.195.223;270.887.995;307228;44971;262257
164;271.195.223;3.235.82.191;192.168.43.133;TLSv1.2;249;Application Data;;;;;;;;;;;;;;;271.240.194;271.195.223;44971;3393946;3348975
165;271.240.194;192.168.43.133;3.235.82.191;TCP;54;49832  >  443 [ACK] Seq=2351 Ack=1951 Win=259 Len=0;;;;;;;;;;;;;;;274.634.140;271.240.194;3393946;145357;3248589
166;274.634.140;192.168.43.133;3.235.82.191;TLSv1.2;84;Application Data;;;;;;;;;;;;;;;274.779.497;274.634.140;145357;9682031;9536674
167;274.779.497;3.235.82.191;192.168.43.133;TCP;54;443  >  49832 [ACK] Seq=1951 Ack=2381 Win=6632 Len=0;;;;;;;;;;;;;;;284.461.528;274.779.497;9682031;148817;9533214
170;284.461.528;192.168.43.133;172.217.194.188;TCP;55;[TCP Keep-Alive] 50352  >  5228 [ACK] Seq=1 Ack=1 Win=257 Len=1;;;;;;;;;;;;;;;284.610.345;284.461.528;148817;16163702;16014885
171;284.610.345;172.217.194.188;192.168.43.133;TCP;54;[TCP Keep-Alive ACK] 5228  >  50352 [ACK] Seq=1 Ack=2 Win=706 Len=0;;;;;;;;;;;;;;;300.774.047;284.610.345;16163702;220492;15943210
174;300.774.047;192.168.43.133;3.235.82.191;TLSv1.2;271;Application Data;;;;;;;;;;;;;;;300.994.539;300.774.047;220492;409772;189280
175;300.994.539;3.235.82.191;192.168.43.133;TCP;54;443  >  49832 [ACK] Seq=1951 Ack=2598 Win=6639 Len=0;;;;;;;;;;;;;;;301.404.311;300.994.539;409772;41050;368722
